index	file	func	line	func_pretty	is_kernel	op
0	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	541	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
1	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	543	kernel_ecc(double, double*, double*, int, double*)	0	fsub
2	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	556	kernel_ecc(double, double*, double*, int, double*)	0	fmul
3	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	557	kernel_ecc(double, double*, double*, int, double*)	0	fmul
4	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	558	kernel_ecc(double, double*, double*, int, double*)	0	fmul
5	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	559	kernel_ecc(double, double*, double*, int, double*)	0	fmul
6	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	560	kernel_ecc(double, double*, double*, int, double*)	0	fmul
7	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	570	kernel_ecc(double, double*, double*, int, double*)	0	fsub
8	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	572	kernel_ecc(double, double*, double*, int, double*)	0	fsub
9	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	583	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
10	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	584	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
11	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	585	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
12	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	586	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
13	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	587	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
14	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	588	kernel_ecc(double, double*, double*, int, double*)	0	fdiv
15	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	669	kernel_ecc(double, double*, double*, int, double*)	0	fmul
16	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	670	kernel_ecc(double, double*, double*, int, double*)	0	fmul
17	tests/amd/benchmarks/rodinia/myocyte/kernel_ecc.cu	_Z10kernel_eccdPdS_iS_	673	kernel_ecc(double, double*, double*, int, double*)	0	fmul
