index,invalid,divzero,overflow,underflow,subnormal,div_invalid
9,0,3,0,0,0,0
10,0,3,0,0,0,0
11,0,4407,0,0,0,0
12,0,3,0,0,0,0
13,0,3,0,0,0,0
30,3,0,0,0,0,0
31,3,0,0,0,0,0
36,0,3,0,3,0,0
37,0,3,0,3,0,0
45,3,0,0,0,0,0
48,0,0,0,3,0,0
49,0,0,0,3,0,0
50,0,6,0,0,0,0
54,3,0,0,0,0,0
55,3,0,0,0,0,0
70,4,0,0,0,0,0
75,3,0,0,0,0,0
81,0,3,0,3,0,0
82,0,3,0,3,0,0
93,3,3,0,0,0,3
94,3,3,0,0,0,3
95,3,3,0,0,0,3
96,3,3,0,0,0,3
97,3,3,0,0,0,3
105,0,3,0,3,0,0
106,0,3,0,3,0,0
125,0,9,0,9,0,0
160,2,0,0,0,0,0
