index	file	func	line	func_pretty	is_kernel	op
0	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z24cuda_compute_step_factoriPfS_S_	722	cuda_compute_step_factor(int, float*, float*, float*)	1	sqrt
1	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z24cuda_compute_step_factoriPfS_S_	246	cuda_compute_step_factor(int, float*, float*, float*)	1	fadd
2	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z16compute_velocityRfR15HIP_vector_typeIfLj3EES2_	208	compute_velocity(float&, HIP_vector_type<float, 3u>&, HIP_vector_type<float, 3u>&)	0	fdiv
3	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z16compute_velocityRfR15HIP_vector_typeIfLj3EES2_	209	compute_velocity(float&, HIP_vector_type<float, 3u>&, HIP_vector_type<float, 3u>&)	0	fdiv
4	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z16compute_velocityRfR15HIP_vector_typeIfLj3EES2_	210	compute_velocity(float&, HIP_vector_type<float, 3u>&, HIP_vector_type<float, 3u>&)	0	fdiv
5	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17compute_speed_sqdR15HIP_vector_typeIfLj3EE	215	compute_speed_sqd(HIP_vector_type<float, 3u>&)	0	fmul
6	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z16compute_pressureRfS_S_	220	compute_pressure(float&, float&, float&)	0	fmul
7	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z22compute_speed_of_soundRfS_	225	compute_speed_of_sound(float&, float&)	0	fmul
8	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z22compute_speed_of_soundRfS_	722	compute_speed_of_sound(float&, float&)	0	sqrt
9	/opt/rocm-7.2.4/lib/llvm/lib/clang/22/include/__clang_hip_math.h	_Z17cuda_compute_fluxiPiPfS0_S0_	722	cuda_compute_flux(int, int*, float*, float*, float*)	1	sqrt
10	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	305	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
11	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	321	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
12	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	322	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
13	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	323	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
14	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	324	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
15	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	325	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
16	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	326	cuda_compute_flux(int, int*, float*, float*, float*)	1	fsub
17	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	329	cuda_compute_flux(int, int*, float*, float*, float*)	1	fmul
18	tests/amd/benchmarks/rodinia/cfd/euler3d.cu	_Z17cuda_compute_fluxiPiPfS0_S0_	330	cuda_compute_flux(int, int*, float*, float*, float*)	1	fadd
